timestamp, power.draw [W]
2021/03/31 22:52:48.759, 2.06 W
2021/03/31 22:52:48.811, 2.41 W
2021/03/31 22:52:48.862, 2.41 W
2021/03/31 22:52:48.913, 2.02 W
2021/03/31 22:52:48.965, 2.02 W
2021/03/31 22:52:49.016, 2.54 W
2021/03/31 22:52:49.068, 2.54 W
2021/03/31 22:52:49.119, 2.11 W
2021/03/31 22:52:49.171, 2.11 W
2021/03/31 22:52:49.222, 2.03 W
2021/03/31 22:52:49.276, 2.82 W
2021/03/31 22:52:49.328, 2.82 W
2021/03/31 22:52:49.379, 2.52 W
2021/03/31 22:52:49.430, 2.52 W
